MARCA;MARCA_GN
COLOSAL/BARRA/SIN SABORCOLOSAL/BARRA/26 32 GRS;COLOSAL
COLOSAL/BARRA/SIN SABORCOLOSAL/BARRA/500 O MAS GRS;COLOSAL
COLOSAL/BARRA/VAINILLA;COLOSAL
COLOSAL/BARRA/VAINILLACOLOSAL/BARRA/250 374 GRS;COLOSAL
COLOSAL/BARRA/VAINILLACOLOSAL/BARRA/500 O MAS GRS;COLOSAL
CORDOBES/POLVO/OTROS SABORES;CORDOBES
CORDOBES/POLVO/OTROS SABORESCORDOBES/POLVO/33 125 GRS;CORDOBES
CORDOBES/POLVO/SIN SABOR;CORDOBES
CORDOBES/POLVO/SIN SABORCORDOBES/POLVO/33 125 GRS;CORDOBES
CORONA/BARRA/AVELLANA;CORONA
CORONA/BARRA/AVELLANACORONA/BARRA/500 O MAS GRS;CORONA
CORONA/BARRA/CLAVOS Y CANELA;CORONA
CORONA/BARRA/CLAVOS Y CANELACORONA/BARRA/0 25 GRS;CORONA
CORONA/BARRA/CLAVOS Y CANELACORONA/BARRA/250 374 GRS;CORONA
CORONA/BARRA/CLAVOS Y CANELACORONA/BARRA/26 32 GRS;CORONA
CORONA/BARRA/CLAVOS Y CANELACORONA/BARRA/500 O MAS GRS;CORONA
CORONA/BARRA/OTROS SABORES;CORONA
CORONA/BARRA/OTROS SABORESCORONA/BARRA/0 25 GRS;CORONA
CORONA/BARRA/OTROS SABORESCORONA/BARRA/250 374 GRS;CORONA
CORONA/BARRA/OTROS SABORESCORONA/BARRA/500 O MAS GRS;CORONA
CORONA/BARRA/SIN SABOR;CORONA
CORONA/BARRA/SIN SABORCORONA/BARRA/0 25 GRS;CORONA
CORONA/BARRA/SIN SABORCORONA/BARRA/126 249 GRS;CORONA
CORONA/BARRA/SIN SABORCORONA/BARRA/250 374 GRS;CORONA
CORONA/BARRA/SIN SABORCORONA/BARRA/26 32 GRS;CORONA
CORONA/BARRA/SIN SABORCORONA/BARRA/33 125 GRS;CORONA
CORONA/BARRA/SIN SABORCORONA/BARRA/375 499 GRS;CORONA
